libgit2/libgit2	v1.9.6	package.json	cpp	empty document
locustio/locust	2.46.3	package.json	python	empty document
lodash/lodash	4.18.1	package-lock.json	javascript	empty document
lunarmodules/luasocket	v3.1.0	luasocket.sln	lua	empty document
microsoft/PowerToys	v0.101.2211.0	src/common/Common.Search/Common.Search.csproj	dotnet	empty document
microsoft/markitdown	v0.1.7	packages/markitdown-mcp/pyproject.toml	python	empty document
microsoft/terminal	1904.29002	tools/ColorTool/ColorTool.sln	cpp	empty document
nextcloud/server	v34.0.2	composer.lock	php	empty document
php-fig/log	3.0.2	composer.json	php	empty document
pypa/pip	26.2.1	pyproject.toml	python	empty document
ray-project/ray	ray-2.56.1	pyproject.toml	python	empty document
reasonml/reason	3.18.0	package.json	ocaml	empty document
restsharp/RestSharp	114.0.0	src/RestSharp.Serializers.Xml/RestSharp.Serializers.Xml.csproj	dotnet	empty document
scikit-learn/scikit-learn	1.9.0	pyproject.toml	python	empty document
snoyberg/conduit	conduit-1.3.5	stack.yaml.lock	haskell	empty document
tigerbeetle/tigerbeetle	0.17.9	src/clients/java/pom.xml	zig	empty document
twbs/bootstrap	v5.3.8	composer.json	javascript	empty document
yesodweb/yesod	yesod-1.6.2.1	stack.yaml.lock	haskell	empty document
yiisoft/yii2	2.0.55	package.json	php	empty document
ClickHouse/ClickHouse	54011		cpp	no runs
EbookFoundation/free-programming-books	@default		other	no runs
JuliaData/DataFrames.jl	v1.8.2		julia	no runs
JuliaGPU/CUDA.jl	v6.2.1		julia	no runs
JuliaLang/Pkg.jl	v1.12.6		julia	no runs
JuliaLang/julia	v1.12.6		other	no runs
JuliaPlots/Plots.jl	v1.41.4		julia	no runs
JuliaSymbolics/Symbolics.jl	v7.36.0		julia	no runs
JuliaWeb/HTTP.jl	v2.6.4		julia	no runs
LuaJIT/LuaJIT	@default		other	no runs
LuaLS/lua-language-server	3.19.0		lua	no runs
NixOS/nix	2.35.1		nix	no runs
PMunch/futhark	v0.16.0		nim	no runs
Perl/perl5	v5.45.1		other	no runs
SciML/DifferentialEquations.jl	v8.0.1		julia	no runs
Shopify/liquid	v5.13.0		ruby	no runs
abseil/abseil-cpp	20260526.0		cpp	no runs
anthropics/claude-code	v2.1.226		javascript	no runs
benoitc/hackney	4.7.2		erlang	no runs
catchorg/Catch2	v3.15.3		cpp	no runs
cloudposse/terraform-aws-components	1.536.0		terraform	no runs
conan-io/conan-center-index	@default		cpp	no runs
crystal-lang/crystal	1.21.0		other	no runs
dart-lang/sdk	3.12.2		dart	no runs
dart-lang/shelf	shelf-v1.4.2		dart	no runs
daurnimator/lua-http	v0.4		lua	no runs
disruptek/frosty	3.0.0		nim	no runs
duckdb/duckdb	v1.5.5		cpp	no runs
elixir-lang/elixir	v1.20.3		elixir	no runs
facebook/folly	v2026.08.03.00		cpp	no runs
folke/lazy.nvim	v11.17.5		lua	no runs
gabime/spdlog	v1.17.0		cpp	no runs
google/googletest	v1.17.0		cpp	no runs
haskell/aeson	v2.3.1.0		haskell	no runs
haskellari/postgresql-simple	v0.7.0.1		haskell	no runs
hexops/mach	v0.5.0		zig	no runs
houseabsolute/DateTime.pm	v1.66		perl	no runs
janestreet/core	113.33.03		ocaml	no runs
jekyll/jekyll	v4.4.1		ruby	no runs
karlseguin/http.zig	@default		zig	no runs
kristoff-it/zine	v0.13.0		zig	no runs
libwww-perl/libwww-perl	v6.83		perl	no runs
lunarmodules/busted	v2.3.0		lua	no runs
luvit/luvit	2.18.1		lua	no runs
metacpan/metacpan-web	v1.0.0		perl	no runs
mirage/mirage	v4.11.2		ocaml	no runs
mojolicious/mojo	v9.49		perl	no runs
moose/Moose	2.4000		perl	no runs
natecraddock/ziglua	0.6.0		zig	no runs
neovim/neovim	v0.12.4		other	no runs
nginx/nginx	release-1.31.3		cpp	no runs
nim-lang/Nim	v2.2.10		nim	no runs
nimgl/nimgl	1.3.2		nim	no runs
ninenines/cowboy	2.18.0		erlang	no runs
nix-community/home-manager	@default		nix	no runs
nix-community/nixvim	@default		nix	no runs
numtide/devshell	@default		nix	no runs
nvim-lua/kickstart.nvim	@default		lua	no runs
ocaml-batteries-team/batteries-included	release-09.11.1		ocaml	no runs
ocaml-multicore/eio	v1.4		ocaml	no runs
ocaml/ocaml	5.5.0		other	no runs
ocaml/opam	2.5.2		ocaml	no runs
ocsigen/lwt	6.1.2		ocaml	no runs
openresty/lua-nginx-module	v0.10.31		perl	no runs
openssl/openssl	openssl-4.0.1		cpp	no runs
perl5-dbi/dbi	1.651		perl	no runs
plack/Plack	1.0054		perl	no runs
puma/puma	v8.0.2		ruby	no runs
r-lib/devtools	v2.5.2		r	no runs
r-lib/httr2	v1.3.0		r	no runs
r-lib/testthat	v3.3.2		r	no runs
rack/rack	v3.2.6		ruby	no runs
rspec/rspec-core	v3.13.2		ruby	no runs
rstudio/renv	v1.2.4		r	no runs
rubocop/rubocop	v1.89.0		ruby	no runs
ruby-grape/grape	v3.3.5		ruby	no runs
sass/sassc-ruby	v2.4.0		ruby	no runs
sidekiq/sidekiq	v8.1.6		ruby	no runs
sinatra/sinatra	v4.2.1		ruby	no runs
sindresorhus/awesome	@default		other	no runs
solidusio/solidus	v4.7.0		ruby	no runs
terraform-aws-modules/terraform-aws-eks	v21.24.2		terraform	no runs
terraform-aws-modules/terraform-aws-rds	v7.2.1		terraform	no runs
terraform-aws-modules/terraform-aws-s3-bucket	v5.15.4		terraform	no runs
terraform-aws-modules/terraform-aws-security-group	v6.0.0		terraform	no runs
terraform-aws-modules/terraform-aws-vpc	v6.6.1		terraform	no runs
tidyverse/dplyr	v1.2.1		r	no runs
tidyverse/ggplot2	v4.0.3		r	no runs
tidyverse/tidyr	v1.3.2		r	no runs
treeform/pixie	6.1.0		nim	no runs
ytdl-org/youtube-dl	2021.12.17		python	no runs
ziglang/zig	0.15.2		other	no runs
zigtools/zls	0.16.0		zig	no runs
zigzap/zap	v0.11.0		zig	no runs
FluxML/Flux.jl	v0.16.11	examples/resnet_tinyimagenet/pytorch/pyproject.toml	julia	tooling subject
GoogleCloudPlatform/terraform-google-network	v18.1.2	test/integration/go.sum	terraform	tooling subject
capistrano/capistrano	v3.20.1	docs/Gemfile.lock	ruby	tooling subject
emqx/emqx	6.2.2	scripts/sbom/requirements.txt	erlang	tooling subject
flame-engine/flame	v1.38.0	doc/_sphinx/requirements.txt	dart	tooling subject
microsoft/vcpkg	2026.07.29	scripts/azure-pipelines/owners-db/package-lock.json	cpp	tooling subject
ocaml/dune	3.24.2	doc/requirements.txt	ocaml	tooling subject
ohmyzsh/ohmyzsh	@default	.github/workflows/dependencies/requirements.txt	other	tooling subject
status-im/nimbus-eth2	v26.7.0	docs/requirements.txt	nim	tooling subject
terraform-google-modules/terraform-google-kubernetes-engine	v44.3.0	test/integration/go.sum	terraform	tooling subject
zedeus/nitter	@default	tests/poetry.lock	nim	tooling subject
Genymobile/scrcpy	v4.1	build.gradle	cpp	inferred versions
