snoyberg/conduit	haskell	empty document	stack.yaml.lock	0
tigerbeetle/tigerbeetle	zig	empty document	src/clients/java/pom.xml	0
twbs/bootstrap	javascript	empty document	composer.json	0
yesodweb/yesod	haskell	empty document	stack.yaml.lock	0
yiisoft/yii2	php	empty document	package.json	0
ClickHouse/ClickHouse	cpp	no runs		
EbookFoundation/free-programming-books	other	no runs		
JuliaData/DataFrames.jl	julia	no runs		
JuliaGPU/CUDA.jl	julia	no runs		
JuliaLang/Pkg.jl	julia	no runs		
JuliaLang/julia	other	no runs		
JuliaPlots/Plots.jl	julia	no runs		
JuliaSymbolics/Symbolics.jl	julia	no runs		
JuliaWeb/HTTP.jl	julia	no runs		
LuaJIT/LuaJIT	other	no runs		
LuaLS/lua-language-server	lua	no runs		
NixOS/nix	nix	no runs		
PMunch/futhark	nim	no runs		
Perl/perl5	other	no runs		
SciML/DifferentialEquations.jl	julia	no runs		
Shopify/liquid	ruby	no runs		
abseil/abseil-cpp	cpp	no runs		
anthropics/claude-code	javascript	no runs		
benoitc/hackney	erlang	no runs		
catchorg/Catch2	cpp	no runs		
cloudposse/terraform-aws-components	terraform	no runs		
conan-io/conan-center-index	cpp	no runs		
crystal-lang/crystal	other	no runs		
dart-lang/sdk	dart	no runs		
dart-lang/shelf	dart	no runs		
daurnimator/lua-http	lua	no runs		
disruptek/frosty	nim	no runs		
duckdb/duckdb	cpp	no runs		
elixir-lang/elixir	elixir	no runs		
facebook/folly	cpp	no runs		
folke/lazy.nvim	lua	no runs		
gabime/spdlog	cpp	no runs		
google/googletest	cpp	no runs		
haskell/aeson	haskell	no runs		
haskellari/postgresql-simple	haskell	no runs		
hexops/mach	zig	no runs		
houseabsolute/DateTime.pm	perl	no runs		
janestreet/core	ocaml	no runs		
jekyll/jekyll	ruby	no runs		
karlseguin/http.zig	zig	no runs		
kristoff-it/zine	zig	no runs		
libwww-perl/libwww-perl	perl	no runs		
lunarmodules/busted	lua	no runs		
luvit/luvit	lua	no runs		
metacpan/metacpan-web	perl	no runs		
mirage/mirage	ocaml	no runs		
mojolicious/mojo	perl	no runs		
moose/Moose	perl	no runs		
natecraddock/ziglua	zig	no runs		
neovim/neovim	other	no runs		
nginx/nginx	cpp	no runs		
nim-lang/Nim	nim	no runs		
nimgl/nimgl	nim	no runs		
ninenines/cowboy	erlang	no runs		
nix-community/home-manager	nix	no runs		
nix-community/nixvim	nix	no runs		
numtide/devshell	nix	no runs		
nvim-lua/kickstart.nvim	lua	no runs		
ocaml-batteries-team/batteries-included	ocaml	no runs		
ocaml-multicore/eio	ocaml	no runs		
ocaml/ocaml	other	no runs		
ocaml/opam	ocaml	no runs		
ocsigen/lwt	ocaml	no runs		
openresty/lua-nginx-module	perl	no runs		
openssl/openssl	cpp	no runs		
perl5-dbi/dbi	perl	no runs		
plack/Plack	perl	no runs		
puma/puma	ruby	no runs		
r-lib/devtools	r	no runs		
r-lib/httr2	r	no runs		
r-lib/testthat	r	no runs		
rack/rack	ruby	no runs		
rspec/rspec-core	ruby	no runs		
rstudio/renv	r	no runs		
rubocop/rubocop	ruby	no runs		
ruby-grape/grape	ruby	no runs		
sass/sassc-ruby	ruby	no runs		
sidekiq/sidekiq	ruby	no runs		
sinatra/sinatra	ruby	no runs		
sindresorhus/awesome	other	no runs		
solidusio/solidus	ruby	no runs		
terraform-aws-modules/terraform-aws-eks	terraform	no runs		
terraform-aws-modules/terraform-aws-rds	terraform	no runs		
terraform-aws-modules/terraform-aws-s3-bucket	terraform	no runs		
terraform-aws-modules/terraform-aws-security-group	terraform	no runs		
terraform-aws-modules/terraform-aws-vpc	terraform	no runs		
tidyverse/dplyr	r	no runs		
tidyverse/ggplot2	r	no runs		
tidyverse/tidyr	r	no runs		
treeform/pixie	nim	no runs		
ytdl-org/youtube-dl	python	no runs		
ziglang/zig	other	no runs		
zigtools/zls	zig	no runs		
zigzap/zap	zig	no runs		
FluxML/Flux.jl	julia	tooling subject	examples/resnet_tinyimagenet/pytorch/pyproject.toml	63
GoogleCloudPlatform/terraform-google-network	terraform	tooling subject	test/integration/go.sum	1
capistrano/capistrano	ruby	tooling subject	docs/Gemfile.lock	84
emqx/emqx	erlang	tooling subject	scripts/sbom/requirements.txt	12
flame-engine/flame	dart	tooling subject	doc/_sphinx/requirements.txt	10
microsoft/vcpkg	cpp	tooling subject	scripts/azure-pipelines/owners-db/package-lock.json	20
ocaml/dune	ocaml	tooling subject	doc/requirements.txt	5
ohmyzsh/ohmyzsh	other	tooling subject	.github/workflows/dependencies/requirements.txt	7
status-im/nimbus-eth2	nim	tooling subject	docs/requirements.txt	34
terraform-google-modules/terraform-google-kubernetes-engine	terraform	tooling subject	test/integration/go.sum	47
zedeus/nitter	nim	tooling subject	tests/poetry.lock	80
Genymobile/scrcpy	cpp	inferred versions	build.gradle	206
