python	AUTOMATIC1111/stable-diffusion-webui	https://github.com/AUTOMATIC1111/stable-diffusion-webui.git	top-100, requirements.txt	v1.10.1
swift	Alamofire/Alamofire	https://github.com/Alamofire/Alamofire.git	spm	5.12.0
dotnet	App-vNext/Polly	https://github.com/App-vNext/Polly.git	csproj	8.7.0
dotnet	AutoMapper/AutoMapper	https://github.com/AutoMapper/AutoMapper.git	csproj	v16.2.0
dart	Baseflow/flutter_cached_network_image	https://github.com/Baseflow/flutter_cached_network_image.git	pubspec	v3.4.1
cpp	ClickHouse/ClickHouse	https://github.com/ClickHouse/ClickHouse.git	cmake, very large	54011
other	EbookFoundation/free-programming-books	https://github.com/EbookFoundation/free-programming-books.git	top-100, no manifest	@default
dotnet	JamesNK/Newtonsoft.Json	https://github.com/JamesNK/Newtonsoft.Json.git	csproj	13.0.4
kotlin	JetBrains/kotlin	https://github.com/JetBrains/kotlin.git	gradle, enormous	v2.4.10
julia	JuliaData/DataFrames.jl	https://github.com/JuliaData/DataFrames.jl.git	Project.toml	v1.8.2
julia	JuliaGPU/CUDA.jl	https://github.com/JuliaGPU/CUDA.jl.git	Project.toml	v6.2.1
julia	JuliaLang/Pkg.jl	https://github.com/JuliaLang/Pkg.jl.git	Project.toml/Manifest.toml	v1.12.6
other	JuliaLang/julia	https://github.com/JuliaLang/julia.git	julia-unsupported	v1.12.6
julia	JuliaPlots/Plots.jl	https://github.com/JuliaPlots/Plots.jl.git	Project.toml	v1.41.4
julia	JuliaSymbolics/Symbolics.jl	https://github.com/JuliaSymbolics/Symbolics.jl.git	Project.toml	v7.36.0
julia	JuliaWeb/HTTP.jl	https://github.com/JuliaWeb/HTTP.jl.git	Project.toml	v2.6.4
other	LuaJIT/LuaJIT	https://github.com/LuaJIT/LuaJIT.git	lua-unsupported	@default
lua	LuaLS/lua-language-server	https://github.com/LuaLS/lua-language-server.git	lua + rockspec	3.19.0
nix	NixOS/nix	https://github.com/NixOS/nix.git	the package manager	2.35.1
nix	NixOS/nixpkgs	https://github.com/NixOS/nixpkgs.git	flake.nix, enormous	v208
java	OpenAPITools/openapi-generator	https://github.com/OpenAPITools/openapi-generator.git	maven	v7.24.0
php	PHPMailer/PHPMailer	https://github.com/PHPMailer/PHPMailer.git	composer	v7.1.1
nim	PMunch/futhark	https://github.com/PMunch/futhark.git	nimble	v0.16.0
other	Perl/perl5	https://github.com/Perl/perl5.git	perl-unsupported	v5.45.1
java	ReactiveX/RxJava	https://github.com/ReactiveX/RxJava.git	gradle	v3.1.12
swift	ReactiveX/RxSwift	https://github.com/ReactiveX/RxSwift.git	spm	6.10.2
swift	SDWebImage/SDWebImage	https://github.com/SDWebImage/SDWebImage.git	CocoaPods and SwiftPM	5.21.7
julia	SciML/DifferentialEquations.jl	https://github.com/SciML/DifferentialEquations.jl.git	Project.toml	v8.0.1
